时间,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
2018-03-11,36.556666666666615,28.78666666666686,16.51666666666665,28.230000000000018,19.440000000000055,3.773333333333312,16.6400000000001,9.89666666666676,1.0499999999999545,37.81499999999983,30.200000000000045,13.476666666666688,27.830000000000155,20.839999999999918,3.6533333333334213,16.649999999999864,8.686666666666724,0.7766666666666424,36.319999999999936,32.75
2018-03-12,36.43999999999983,28.74666666666667,16.539999999999964,28.106666666666797,19.436666666666724,3.783333333333303,16.38000000000011,9.863333333333458,1.0466666666666242,37.6866666666665,30.149999999999864,13.499999999999773,27.713333333333367,20.816666666666606,3.663333333333412,16.399999999999864,8.666666666666515,0.7699999999999818,36.200000000000045,32.66000000000008
2018-03-13,36.319999999999936,28.700000000000045,16.556666666666615,27.98333333333335,19.420000000000073,3.7899999999999636,16.12666666666678,9.830000000000155,1.0399999999999636,37.553333333333285,30.09333333333325,13.519999999999982,27.586666666666815,20.789999999999964,3.673333333333403,16.156666666666524,8.629999999999882,0.7699999999999818,36.08999999999992,32.5766666666666
2018-03-14,36.18999999999983,28.65000000000009,16.573333333333267,27.836666666666815,19.399999999999864,3.806666666666615,15.88000000000011,9.78333333333353,1.0399999999999636,37.4066666666663,30.029999999999973,13.543333333333294,27.460000000000036,20.75999999999999,3.6866666666667243,15.916666666666742,8.599999999999909,0.7699999999999818,35.98333333333312,32.48666666666668
2018-03-15,36.046666666666624,28.596666666666806,16.586666666666588,27.700000000000045,19.36999999999989,3.8133333333332757,15.63333333333344,9.736666666666679,1.0333333333330756,37.25333333333333,29.963333333333367,13.559999999999945,27.320000000000164,20.726666666666688,3.693333333333385,15.679999999999836,8.553333333333285,0.7666666666666515,35.8599999999999,32.41000000000008
2018-03-16,35.909999999999854,28.5300000000002,16.60333333333324,27.549999999999955,19.329999999999927,3.8199999999999363,15.399999999999864,9.683333333333394,1.0299999999999727,37.09666666666658,29.8900000000001,13.5799999999997,27.186666666666724,20.680000000000064,3.7000000000000455,15.443333333333385,8.5,0.7699999999999818,35.77666666666664,32.3599999999999
2018-03-17,35.76666666666665,28.470000000000027,16.61333333333323,27.410000000000082,19.293333333333294,3.8266666666668243,15.1400000000001,9.616666666666788,1.0399999999999636,36.946666666666715,29.816666666666606,13.599999999999909,27.043333333333294,20.63000000000011,3.7100000000000364,15.22666666666646,8.443333333333385,0.7699999999999818,35.700000000000045,32.30333333333351
2018-03-18,35.61333333333323,28.40333333333342,16.61999999999989,27.256666666666433,19.25,3.836666666666588,14.956666666666706,9.540000000000191,1.043333333333294,36.786666666666406,29.74333333333334,13.623333333333221,26.90000000000032,20.573333333333494,3.7233333333333576,15.019999999999754,8.379999999999882,0.7799999999999727,35.60666666666657,32.23333333333335
2018-03-19,35.47000000000003,28.330000000000155,16.636666666666542,27.106666666666797,19.200000000000045,3.8433333333332484,14.740000000000009,9.466666666666697,1.0499999999999545,36.62999999999988,29.663333333333185,13.643333333333203,26.75333333333333,20.51666666666665,3.7333333333333485,14.799999999999955,8.316666666666606,0.7799999999999727,35.52333333333354,32.1733333333334
2018-03-20,35.316666666666606,28.26000000000022,16.639999999999873,26.956666666666706,19.149999999999864,3.8566666666665697,14.526666666666642,9.38333333333344,1.0566666666666151,36.47333333333336,29.586666666666815,13.663333333333185,26.610000000000355,20.456666666666706,3.740000000000009,14.596666666666579,8.233333333333348,0.7899999999999636,35.430000000000064,32.11333333333323
2018-03-21,35.16666666666629,28.190000000000055,16.639999999999873,26.803333333333285,19.089999999999918,3.8633333333332303,14.296666666666852,9.303333333333512,1.0599999999999454,36.3133333333335,29.49666666666667,13.679999999999836,26.460000000000036,20.386666666666542,3.7533333333333303,14.373333333333221,8.156666666666524,0.7966666666668516,35.32333333333327,32.0333333333333
2018-03-22,35.00666666666643,28.113333333333458,16.649999999999864,26.64666666666676,19.039999999999964,3.869999999999891,14.036666666666633,9.240000000000009,1.0566666666666151,36.149999999999864,29.406666666666524,13.696666666666488,26.313333333333503,20.316666666666606,3.759999999999991,14.11999999999989,8.089999999999918,0.7899999999999636,35.183333333333394,31.930000000000064
2018-03-23,34.85666666666657,28.02666666666687,16.649999999999864,26.49000000000001,18.966666666666697,3.8766666666665515,13.74666666666667,9.166666666666742,1.043333333333294,35.98000000000002,29.316666666666606,13.71333333333314,26.160000000000082,20.24666666666667,3.7666666666666515,13.843333333333248,8.016666666666652,0.7899999999999636,35.046666666666624,31.813333333333276
2018-03-24,34.6866666666665,27.910000000000082,16.649999999999864,26.323333333333494,18.896666666666533,3.8799999999998818,13.396666666666533,9.080000000000155,1.0399999999999636,35.806666666666615,29.206666666666706,13.726666666666688,25.99666666666667,20.173333333333403,3.769999999999982,13.509999999999991,7.943333333333385,0.7899999999999636,34.87666666666655,31.693333333333385
2018-03-25,34.50999999999999,27.803333333333512,16.646666666666533,26.180000000000064,18.826666666666597,3.8899999999998727,13.056666666666843,8.993333333333567,1.0399999999999636,35.62333333333322,29.09333333333325,13.736666666666906,25.826666666666824,20.09333333333325,3.769999999999982,13.179999999999836,7.866666666666561,0.7933333333332939,34.73000000000002,31.586666666666588
2018-03-26,34.284999999999854,27.696666666666715,16.639999999999873,25.960000000000036,18.75,3.8899999999998727,12.653333333333421,8.89333333333343,1.0399999999999636,35.416666666666515,28.966666666666697,13.75333333333333,25.6400000000001,20.006666666666888,3.773333333333312,12.796666666666397,7.779999999999745,0.7966666666668516,34.536666666666406,31.433333333333167
2018-03-27,34.11666666666656,27.586666666666815,16.63000000000011,25.756666666666888,18.676666666666506,3.893333333333203,12.170000000000073,8.80666666666707,1.0333333333330756,35.19333333333316,28.83666666666636,13.766666666666652,25.436666666666724,19.916666666666742,3.7799999999999727,12.333333333333258,7.690000000000055,0.7899999999999636,34.26333333333332,31.20999999999981
2018-03-28,33.899999999999864,27.450000000000045,16.61999999999989,25.539999999999964,18.60333333333324,3.8999999999998636,11.683333333333394,8.703333333333376,1.0133333333333212,34.95666666666648,28.693333333333385,13.77666666666687,25.220000000000027,19.826666666666597,3.7766666666666424,11.86999999999989,7.609999999999673,0.7799999999999727,34.01999999999998,31.023333333333312
2018-03-29,33.663333333333185,27.333333333333485,16.6099999999999,25.309999999999945,18.523333333333312,3.8999999999998636,11.25333333333333,8.596666666667033,1.009999999999991,34.710000000000036,28.553333333333285,13.786666666666633,24.99666666666667,19.73666666666668,3.769999999999982,11.446666666666488,7.516666666666879,0.7799999999999727,33.840000000000146,30.87999999999988
2018-03-30,33.426666666666506,27.216666666666697,16.59333333333325,25.073333333333494,18.439999999999827,3.9066666666667516,10.833333333333258,8.490000000000009,1.009999999999991,34.44999999999982,28.413333333333185,13.796666666666624,24.76333333333332,19.63666666666677,3.769999999999982,11.039999999999964,7.416666666666515,0.7899999999999636,33.66333333333341,30.763333333333094
2018-03-31,33.173333333333176,27.106666666666797,16.579999999999927,24.826666666666597,18.34666666666658,3.9099999999998545,10.376666666666779,8.386666666666997,1.0199999999999818,34.173333333333176,28.26666666666665,13.806666666666615,24.51666666666665,19.526666666666642,3.769999999999982,10.593333333333248,7.303333333333285,0.7899999999999636,33.42666666666673,30.593333333333476
2018-04-01,32.906666666666524,26.946666666666715,16.556666666666615,24.556666666666615,18.24666666666667,3.9099999999998545,9.773333333333312,8.28666666666686,1.0033333333333303,33.88666666666654,28.086666666666588,13.809999999999945,24.256666666666888,19.413333333333185,3.769999999999982,10.003333333333103,7.199999999999818,0.7833333333330756,33.05000000000018,30.279999999999973
2018-04-02,32.62333333333322,26.776666666666642,16.533333333333303,24.283333333333303,18.146666666666533,3.906666666666524,9.096666666666806,8.173333333333403,0.9833333333333485,33.58333333333326,27.896666666666533,13.809999999999945,23.99666666666667,19.299999999999955,3.759999999999991,9.35333333333324,7.089999999999918,0.7799999999999727,32.696666666666715,30.01666666666665
2018-04-03,32.319999999999936,26.62333333333345,16.51000000000022,23.99666666666667,18.039999999999964,3.8999999999998636,8.470000000000027,8.046666666666852,0.9800000000000182,33.25999999999976,27.700000000000045,13.809999999999945,23.710000000000264,19.176666666666733,3.7533333333333303,8.743333333333112,6.970000000000027,0.7799999999999727,32.38666666666654,29.786666666666633
2018-04-04,31.99666666666667,26.456666666666706,16.48333333333335,23.689999999999827,17.930000000000064,3.8966666666665333,7.773333333333312,7.920000000000073,0.9800000000000182,32.909999999999854,27.48666666666668,13.809999999999945,23.40666666666675,19.043333333333294,3.743333333333112,8.073333333333494,6.8433333333332484,0.7866666666666333,31.996666666666442,29.48666666666668
2018-04-05,31.65333333333342,26.25666666666666,16.460000000000036,23.366666666666788,17.806666666666615,3.8899999999998727,6.9833333333333485,7.7800000000002,0.9833333333333485,32.539999999999964,27.24666666666667,13.809999999999945,23.089999999999918,18.90333333333342,3.740000000000009,7.306666666666615,6.7000000000000455,0.7933333333332939,31.496666666666442,29.12666666666678
2018-04-06,31.276666666666415,26.0300000000002,16.426666666666506,23.006666666666888,17.670000000000073,3.8899999999998727,6.0300000000002,7.630000000000109,0.9933333333333394,32.12999999999988,26.95333333333315,13.809999999999945,22.74000000000001,18.74000000000001,3.7333333333333485,6.369999999999891,6.546666666666624,0.8000000000001819,30.769999999999982,28.583333333333258
2018-04-07,30.85333333333324,25.75,16.389999999999873,22.61999999999989,17.536666666666633,3.8866666666665424,4.89333333333343,7.486666666666906,0.9900000000000091,31.673333333333176,26.59333333333325,13.799999999999955,22.360000000000127,18.563333333333276,3.730000000000018,5.3333333333332575,6.389999999999873,0.8000000000001819,30.00999999999999,27.99666666666667
2018-04-08,30.396666666666533,25.496666666666897,16.35666666666657,22.226666666666688,17.40333333333342,3.8799999999998818,4.0966666666670335,7.350000000000136,0.9700000000000273,31.183333333333167,26.279999999999973,13.786666666666633,21.966666666666924,18.399999999999864,3.716666666666697,4.629999999999882,6.2333333333333485,0.7866666666666333,29.529999999999973,27.62000000000012
2018-04-09,29.929999999999836,25.269999999999982,16.313333333333276,21.826666666666597,17.273333333333312,3.8766666666665515,3.4200000000000728,7.196666666666715,0.9466666666664878,30.676666666666506,26.019999999999982,13.776666666666642,21.566666666666833,18.24000000000001,3.706666666666706,4.179999999999836,6.089999999999918,0.7799999999999727,29.309999999999945,27.465000000000146
2018-04-10,29.46666666666647,25.073333333333494,16.26666666666665,21.426666666666506,17.136666666666542,3.869999999999891,2.9166666666667425,7.050000000000182,0.9366666666664969,30.170000000000073,25.806666666666615,13.763333333333094,21.173333333333403,18.080000000000155,3.693333333333385,3.8966666666665333,5.953333333333376,0.7733333333333121,29.200000000000045,27.34333333333302
2018-04-11,29.01666666666665,24.896666666666533,16.220000000000027,21.03333333333353,17.00333333333333,3.8633333333332303,2.5466666666668516,6.9066666666667516,0.9199999999998454,29.686666666666497,25.616666666666788,13.74666666666667,20.806666666666843,17.910000000000082,3.6800000000000637,3.729999999999791,5.809999999999945,0.7699999999999818,29.10666666666657,27.269999999999982
2018-04-12,28.606666666666342,24.73333333333335,16.173333333333176,20.663333333333185,16.86666666666656,3.8566666666665697,2.2899999999999636,6.74666666666667,0.9166666666667425,29.23666666666668,25.433333333333394,13.733333333333348,20.456666666666706,17.73666666666668,3.6666666666667425,3.6000000000001364,5.656666666666524,0.7766666666666424,29.090000000000146,27.269999999999982
2018-04-13,28.20999999999981,24.580000000000382,16.11999999999989,20.306666666666615,16.720000000000027,3.8433333333332484,2.0800000000001546,6.580000000000155,0.926666666666506,28.816666666666606,25.25999999999999,13.72333333333313,20.12666666666678,17.559999999999945,3.6566666666667516,3.459999999999809,5.49666666666667,0.7799999999999727,29.01333333333332,27.210000000000036
2018-04-14,27.839999999999918,24.416666666666742,16.073333333333267,19.970000000000027,16.569999999999936,3.8333333333332575,1.8633333333334576,6.436666666666724,0.9233333333331757,28.429999999999836,25.086666666666588,13.703333333333148,19.813333333333503,17.383333333333212,3.6466666666667606,3.2466666666666697,5.339999999999918,0.7799999999999727,28.86333333333323,27.086666666666588
2018-04-15,27.49666666666667,24.25333333333333,16.019999999999982,19.65333333333342,16.430000000000064,3.826666666666597,1.6499999999998636,6.296666666666852,0.9066666666665242,28.069999999999936,24.913333333333412,13.683333333333167,19.52000000000021,17.21666666666647,3.630000000000109,3.023333333333312,5.190000000000055,0.7699999999999818,28.726666666666688,26.970000000000027
2018-04-16,27.176666666666506,24.093333333333476,15.963333333333367,19.3599999999999,16.283333333333303,3.816666666666606,1.4633333333333667,6.1666666666667425,0.8849999999997635,27.73333333333312,24.74666666666667,13.660000000000082,19.24333333333334,17.056666666666615,3.6166666666665606,2.806666666666615,5.036666666666633,0.7599999999999909,28.62999999999988,26.88333333333344
2018-04-17,26.87333333333322,23.940000000000055,15.906666666666297,19.079999999999927,16.1400000000001,3.806666666666615,1.316666666666606,6.0300000000002,0.8666666666665606,27.423333333333176,24.59333333333325,13.639999999999873,18.983333333333576,16.89666666666676,3.5933333333332484,2.643333333333203,4.889999999999873,0.7733333333333121,28.6099999999999,26.84999999999991
2018-04-18,26.59333333333325,23.81666666666706,15.849999999999909,18.826666666666597,16.00666666666666,3.793333333333294,1.2266666666666879,5.900000000000091,0.8500000000001364,27.136666666666542,24.48333333333335,13.6099999999999,18.74666666666667,16.74000000000001,3.576666666666597,2.5266666666666424,4.783333333333303,0.7799999999999727,28.89666666666676,27.056666666666843
2018-04-19,26.35666666666657,23.75666666666666,15.799999999999955,18.600000000000136,15.886666666666542,3.7799999999999727,1.4200000000000728,5.763333333333321,0.8333333333332575,26.889999999999873,24.466666666666924,13.585000000000036,18.53333333333353,16.600000000000136,3.553333333333285,2.6866666666667243,4.710000000000036,0.7766666666666424,29.480000000000018,27.48333333333312
2018-04-20,26.159999999999854,23.713333333333594,15.740000000000009,18.386666666666542,15.740000000000009,3.7666666666666515,1.9833333333333485,5.603333333333467,0.8199999999999363,26.679999999999836,24.460000000000036,13.566666666666606,18.336666666666815,16.446666666666715,3.5366666666666333,3.0333333333330756,4.633333333333212,0.7799999999999727,29.776666666666642,27.720000000000027
2018-04-21,26.0,23.63000000000011,15.690000000000055,18.190000000000055,15.586666666666588,3.7533333333333303,2.4500000000000455,5.476666666666688,0.8199999999999363,26.523333333333085,24.40333333333342,13.543333333333294,18.15333333333342,16.276666666666642,3.513333333333321,3.2466666666666697,4.519999999999982,0.7799999999999727,29.723333333333358,27.673333333333403
2018-04-22,25.87666666666655,23.5,15.629999999999882,18.026666666666642,15.436666666666724,3.736666666666679,2.5,5.353333333333467,0.8199999999999363,26.413333333333185,24.276666666666642,13.519999999999982,18.0,16.11666666666656,3.4933333333333394,3.2266666666664605,4.4099999999998545,0.783333333333303,29.48666666666668,27.499999999999773
2018-04-23,25.763333333333094,23.340000000000146,15.57666666666637,17.88000000000011,15.306666666666615,3.7233333333333576,2.2799999999999727,5.243333333333567,0.8199999999999363,26.323333333333267,24.12666666666678,13.490000000000009,17.860000000000355,15.970000000000027,3.4733333333333576,3.1399999999998727,4.289999999999964,0.7866666666666333,29.26333333333332,27.333333333333258
2018-04-24,25.649999999999864,23.176666666666733,15.519999999999982,17.75333333333333,15.176666666666506,3.7100000000000364,2.009999999999991,5.1400000000001,0.8199999999999363,26.230000000000018,23.980000000000246,13.459999999999809,17.73666666666668,15.826666666666597,3.456666666666706,3.0299999999999727,4.169999999999845,0.7899999999999636,29.11333333333323,27.220000000000027
2018-04-25,25.536666666666633,23.050000000000182,15.460000000000036,17.63000000000011,15.049999999999955,3.6933333333331575,1.8466666666670335,5.053333333333512,0.816666666666606,26.12666666666655,23.886666666666542,13.429999999999836,17.613333333333458,15.703333333333148,3.4366666666667243,3.023333333333312,4.069999999999709,0.7966666666668516,29.37666666666655,27.40333333333342
2018-04-26,25.443333333333385,23.00666666666666,15.406666666666297,17.529999999999973,14.946666666666715,3.676666666666506,2.183333333333394,4.9833333333333485,0.8033333333332848,26.036666666666633,23.920000000000073,13.396666666666306,17.51666666666665,15.596666666666579,3.423333333333403,3.2200000000000273,3.976666666666688,0.8000000000001819,30.153333333333194,27.973333333333358
2018-04-27,25.3900000000001,23.02000000000021,15.349999999999909,17.450000000000045,14.846666666666579,3.666666666666515,3.466666666666697,4.930000000000064,0.7899999999999636,25.97999999999979,24.036666666666633,13.36333333333323,17.443333333333385,15.49666666666667,3.4000000000003183,4.006666666666433,3.8899999999998727,0.7933333333332939,30.980000000000018,28.580000000000155
2018-04-28,25.399999999999864,23.04000000000019,15.303333333333285,17.39333333333343,14.74333333333334,3.6499999999998636,5.040000000000191,4.866666666666788,0.7899999999999636,25.99666666666667,24.146666666666533,13.339999999999918,17.386666666666542,15.406666666666752,3.3833333333334394,5.259999999999991,3.7899999999999636,0.7933333333332939,31.50333333333333,28.9699999999998
2018-04-29,25.45666666666625,23.023333333333312,15.25666666666666,17.366666666666788,14.63000000000011,3.633333333333212,5.826666666666824,4.816666666666833,0.7866666666666333,26.089999999999918,24.183333333333394,13.309999999999945,17.366666666666788,15.289999999999964,3.363333333333003,5.979999999999791,3.6799999999998363,0.8066666666668425,31.523333333333312,28.98333333333335
2018-04-30,25.556666666666615,22.949999999999818,15.200000000000045,17.38000000000011,14.516666666666652,3.6166666666665606,5.763333333333549,4.78333333333353,0.7766666666666424,26.23666666666668,24.11999999999989,13.276666666666415,17.38000000000011,15.186666666666724,3.3433333333332484,5.879999999999882,3.599999999999909,0.8366666666668152,31.196666666666715,28.74000000000001
2018-05-01,25.669999999999845,22.856666666667024,15.149999999999864,17.430000000000064,14.413333333333185,3.5966666666665787,5.520000000000209,4.74666666666667,0.7666666666666515,26.416666666666515,24.01333333333332,13.240000000000009,17.426666666666733,15.093333333333476,3.3199999999999363,5.563333333333276,3.509999999999991,0.8466666666670335,30.926666666666506,28.546666666666624
2018-05-02,25.76333333333332,22.76666666666688,15.10333333333324,17.48666666666668,14.313333333333276,3.576666666666597,5.163333333333185,4.686666666666724,0.7799999999999727,26.56333333333305,23.916666666666742,13.209999999999809,17.473333333333358,15.016666666666652,3.2999999999999545,5.286666666666633,3.4233333333331757,0.856666666666797,30.773333333333085,28.426666666666733
2018-05-03,25.84333333333325,22.690000000000055,15.053333333333285,17.529999999999973,14.216666666666924,3.5599999999999454,4.970000000000027,4.620000000000118,0.8199999999999363,26.673333333333176,23.819999999999936,13.179999999999836,17.49666666666667,14.973333333333358,3.2766666666666424,5.123333333333221,3.3133333333332757,0.8600000000001273,30.686666666666497,28.36333333333323
2018-05-04,25.889999999999645,22.606666666667024,15.0,17.553333333333285,14.129999999999882,3.5399999999999636,4.653333333333421,4.570000000000164,0.8399999999999181,26.73333333333312,23.713333333333367,13.146666666666306,17.49666666666667,14.906666666666752,3.2533333333333303,4.836666666666588,3.226666666666688,0.8666666666667879,30.316666666666606,28.073333333333494
2018-05-05,25.896666666666533,22.48333333333335,14.953333333333376,17.543333333333294,14.043333333333294,3.5233333333330847,3.993333333333112,4.5166666666666515,0.8599999999999,26.74333333333334,23.546666666666624,13.1099999999999,17.470000000000027,14.836666666666588,3.2333333333333485,4.375,3.1399999999998727,0.8700000000001182,29.720000000000027,27.62999999999988
