,H
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-13,
2013-04-14,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-20,
2013-04-21,
2013-04-22,
2013-04-23,
2013-04-25,
2013-04-26,
2013-04-28,
2013-04-29,
2013-05-01,
2013-05-02,
2013-05-04,
2013-05-05,
2013-05-07,
2013-05-08,
2013-05-10,
2013-05-11,
2013-05-13,
2013-05-14,
2013-05-16,
2013-05-17,
2013-05-19,
2013-05-20,
2013-05-22,
2013-05-24,
2013-05-25,
2013-05-26,
2013-05-28,
2013-05-29,
2013-05-31,
2013-06-01,
2013-06-03,
2013-06-04,
2013-06-06,
2013-06-07,
2013-06-08,
2013-06-09,
2013-06-10,
2013-06-12,
2013-06-13,
2013-06-15,
2013-06-16,
2013-06-18,
2013-06-19,
2013-06-21,
2013-06-22,
2013-06-24,
2013-06-25,9.96699999999987
2013-06-26,10.405999999999949
2013-06-28,10.057000000000016
2013-06-29,10.14799999999991
2013-07-01,9.52599999999984
2013-07-29,8.63599999999974
2013-07-30,7.74599999999964
2013-07-31,6.85599999999954
2013-08-02,5.96599999999944
2013-08-03,5.07599999999934
2013-08-05,4.18599999999924
2013-08-06,3.2959999999998217
2013-08-07,3.4299999999998363
2013-08-10,5.526999999999816
2013-08-13,5.843999999999824
2013-08-14,8.980999999999767
2013-08-15,11.795999999999822
2013-08-16,13.471000000000004
2013-08-17,14.108999999999924
2013-08-18,14.392999999999802
2013-08-19,14.108999999999924
2013-08-20,13.875
2013-08-21,13.67899999999986
2013-08-22,13.336000000000013
2013-08-23,12.840999999999894
2013-08-24,12.43899999999985
2013-08-25,12.087999999999965
2013-08-26,13.024499999999989
2013-08-27,15.753999999999905
2013-08-28,17.138500000000022
2013-08-29,18.733999999999924
2013-08-30,20.19399999999996
2013-08-31,21.635999999999967
2013-09-01,23.54099999999994
2013-09-02,24.89799999999991
2013-09-03,25.66899999999987
2013-09-04,25.973999999999933
2013-09-05,26.061999999999898
2013-09-06,26.067000000000007
2013-09-07,26.03800000000001
2013-09-08,26.013999999999896
2013-09-09,25.978999999999814
2013-09-10,25.937999999999874
2013-09-11,25.87299999999982
2013-09-12,25.819999999999936
2013-09-13,25.79099999999994
2013-09-14,25.79599999999982
2013-09-15,25.75499999999988
2013-09-16,25.749000000000024
2013-09-17,25.707999999999856
2013-09-18,25.189999999999827
2013-09-19,24.811999999999898
2013-09-20,24.43399999999997
2013-09-21,23.99499999999989
2013-09-22,23.697999999999865
2013-09-23,23.394000000000005
2013-09-24,23.0179999999998
2013-09-25,22.676999999999907
2013-09-26,22.46699999999987
2013-09-27,22.478999999999814
2013-09-28,22.63499999999999
2013-09-29,23.261999999999944
2013-09-30,23.875
2013-10-01,24.455999999999904
2013-10-02,24.963999999999942
2013-10-03,25.311999999999898
2013-10-04,25.464999999999918
2013-10-05,25.605000000000018
2013-10-06,25.704999999999927
2013-10-07,25.75799999999981
2013-10-08,25.704999999999927
2013-10-09,25.708000000000084
2013-10-10,25.69899999999984
2013-10-11,25.651999999999816
2013-10-12,25.692000000000007
2013-10-13,25.692000000000007
